Year,Month,Day,State,Magnitude
1991,6,28,California,5.6
1987,10,4,California,5.6
1959,7,21,Arizona,5.6
2008,7,29,California,5.5
1952,4,9,Oklahoma,5.5
1940,12,24,New Hampshire,5.5
1940,12,20,New Hampshire,5.5
1926,6,29,California,5.5
1909,5,16,North Dakota,5.5
1884,8,10,New York,5.5
2008,4,18,Illinois,5.4
2008,4,30,California,5.4
2007,8,14,Hawaii,5.4
1989,8,8,California,5.4
1968,11,9,Illinois,5.4
1955,10,24,California,5.4
1937,3,9,Ohio,5.4
2011,8,23,Colorado,5.3
2005,7,15,Hawaii,5.3
2003,8,15,California,5.3
2002,2,6,Alaska,5.3
2002,6,17,California,5.3
1995,2,3,Wyoming,5.3
1983,10,7,New York,5.3
1967,8,9,Colorado,5.3
1957,3,22,California,5.3
1783,11,30,New Jersey,5.3
2009,4,14,Hawaii,5.2
2007,5,9,California,5.2
2005,6,12,California,5.2
2003,2,22,California,5.2
1998,9,25,Pennsylvania,5.2
1980,7,27,Kentucky,5.2
1916,2,21,North Carolina,5.2
2005,7,17,Hawaii,5.1
2002,4,20,New York,5.1
1987,6,10,Illinois,5.1
1966,1,23,New Mexico,5.1
1964,3,28,Nebraska,5.1
1916,10,18,Alabama,5.1
1909,9,27,Indiana,5.1
1909,5,26,Illinois,5.1
1904,3,21,Maine,5.1
1877,11,15,Nebraska,5.1
1867,4,24,Kansas,5.1
2008,4,26,Nevada,5
2005,8,10,New Mexico,5
2004,1,7,Wyoming,5
2000,9,3,California,5
1986,1,31,Ohio,5
1980,5,18,Washington,5
1865,8,17,Tennessee,5
2005,6,16,California,4.9
2004,7,12,Oregon,4.9
2002,5,14,California,4.9
2006,7,27,Alaska,4.8
2002,9,3,California,4.8
1884,9,19,Ohio,4.8
2011,2,28,Arkansas,4.7
2009,5,18,California,4.7
2005,9,22,California,4.7
2003,8,27,Hawaii,4.7
2003,1,25,California,4.7
2003,3,11,California,4.6
2003,4,29,Alabama,4.6
2002,3,16,California,4.6
2002,6,18,Indiana,4.6
1994,1,16,Pennsylvania,4.6
1975,7,9,Minnesota,4.6
1947,8,10,Michigan,4.6
1931,12,17,Mississippi,4.6
2009,1,30,Washington,4.5
2009,1,9,California,4.5
2007,5,8,Montana,4.5
2006,10,20,California,4.5
2005,10,31,Montana,4.5
2003,12,9,Virginia,4.5
2003,8,21,Wyoming,4.5
2002,6,29,Oregon,4.5
1969,11,20,West Virginia,4.5
1928,11,3,Tennessee,4.5
1914,3,5,Georgia,4.5
1911,6,2,South Dakota,4.5
2007,8,9,California,4.4
2002,11,11,South Carolina,4.4
1984,4,23,Pennsylvania,4.4
2009,3,30,California,4.3
2007,7,2,California,4.3
2007,7,20,California,4.2
2006,3,22,Montana,4.2
2005,5,1,Arkansas,4.2
2004,6,28,Illinois,4.2
2003,5,25,California,4.2
2002,10,22,Wyoming,4.2
1962,4,10,Vermont,4.2
1930,10,19,Louisiana,4.2
1901,5,17,Ohio,4.2
2005,12,19,New Mexico,4.1
2005,2,10,Arkansas,4.1
2005,5,6,California,4.1
2003,2,2,California,4.1
2002,9,21,Washington,4.1
2011,12,31,Ohio,4
2004,4,7,Wyoming,4
2003,4,30,Arkansas,4
2003,9,5,California,4
2003,5,24,California,4
2003,6,6,Kentucky,4
2003,5,25,South Dakota,4
2003,8,27,California,3.9
2003,5,5,Virginia,3.9
2002,11,24,California,3.9
2006,10,2,Maine,3.8
2006,2,10,Colorado,3.8
2004,8,29,Wyoming,3.8
2003,5,26,California,3.8
2003,8,26,New Jersey,3.8
2009,8,18,Colorado,3.7
2004,9,17,Kentucky,3.7
2003,5,30,Washington,3.7
2002,6,16,Washington,3.7
2006,1,2,Illinois,3.6
2004,8,19,Alabama,3.6
2003,6,20,Washington,3.6
2003,10,7,California,3.6
2003,7,22,Massachusetts,3.6
2002,12,24,California,3.6
2009,4,30,California,3.5
2009,6,8,California,3.5
2009,3,8,California,3.5
2003,10,19,California,3.5
1976,3,11,Rhode Island,3.5
2003,5,26,California,3.4
2003,9,13,California,3.4
2003,9,22,Idaho,3.3
2002,12,25,New York,3.3
2009,2,3,New Jersey,3
2004,5,30,California,3
